title,rsvp guests,tickets sold,sales,start date,location,last modified,waitlist,registration,type,status
Chili Cook Off Judging,1,0,,2026-03-08T15:00:00Z,"334 E 22nd Ave, Homestead, PA 15120, USA",2026-02-18T19:42:47Z,0,OPEN_RSVP,RSVP,UPCOMING
DelMarVa Eastern Shore Classic,14,0,,2026-03-27T23:00:00Z,"10028 Ocean Gateway, Easton, MD 21601, USA",2026-02-12T18:45:24Z,0,OPEN_RSVP,RSVP,UPCOMING
Guardian's Cup- Interest Gathering,20,0,,2026-03-07T00:00:00Z,"2700 Brighton Henrietta Town Line Rd, Rochester, NY 14623, USA",2026-02-15T13:20:17Z,0,OPEN_RSVP,RSVP,UPCOMING
Charity Bag Prep/ Packing - Volunteer Opportunity,12,0,,2026-02-20T14:00:00Z,"210 Overlook Dr, Sewickley, PA 15143, USA",2026-02-05T19:40:05Z,0,OPEN_RSVP,RSVP,UPCOMING
National Championship - Interest Gathering,50,0,,2026-04-23T11:00:00Z,"12700 N Stemmons Fwy, Farmers Branch, TX 75234, USA",2026-01-22T18:31:01Z,0,OPEN_RSVP,RSVP,UPCOMING
Outdoor Practice,3,0,,2026-02-28T12:00:00Z,"300 Corrigan Dr, Bethel Park, PA 15102, USA",2025-12-23T07:25:10Z,0,OPEN_RSVP,RSVP,UPCOMING
Outdoor Practice,6,0,,2026-02-21T12:00:00Z,"300 Corrigan Dr, Bethel Park, PA 15102, USA",2025-12-23T07:25:10Z,0,OPEN_RSVP,RSVP,UPCOMING
